City,State,County,Lat,Lng,Population,Area,Job,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year
Luray,SC,Hampton,32.81838,-81.34757,221,Urban,Network engineer,0,80,16494.19,Married,Female,No,8.43273,17,1,0,No,One year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,No,No,No,No,Electronic Check,9.534696,137.4686,847.6690217
Clayton,WA,Stevens,48.01216,-117.5764,1868,Rural,Diagnostic radiographer,2,76,18231.57,Widowed,Female,Yes,10.52034,11,3,0,No,Month-to-month,Yes,No,None,Yes,No,No,No,No,No,Yes,Yes,No,Bank Transfer(automatic),13.57249,175.1331,1541.284939
Lyman,WA,Skagit,48.52191,-122.067,76,Urban,"Physicist, medical",0,84,9967.84,Divorced,Female,Yes,4.199369,9,1,2,No,Month-to-month,Yes,Yes,None,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Bank Transfer(automatic),20.89442,220.1615,2210.526102
Belden,MS,Lee,34.30573,-88.84611,4941,Urban,"Exhibitions officer, museum/gallery",4,30,35924.8,Never Married,Male,Yes,2.924418,15,3,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,No,No,No,Mailed Check,7.565171,149.9741,1541.0921
Mather,PA,Greene,39.93545,-80.0753,427,Rural,Marine scientist,7,73,50161.62,Never Married,Female,No,11.09081,12,1,0,No,Two Year,Yes,No,None,Yes,Yes,Yes,No,No,No,Yes,No,No,Mailed Check,11.62262,139.9861,1430.966496
London,AR,Pope,35.37373,-93.27199,2405,Rural,Cytogeneticist,0,44,28020.92,Never Married,Male,No,9.168597,14,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Electronic Check,7.567398,139.9875,1282.568064
North Dartmouth,MA,Bristol,41.66783,-71.01627,23512,Suburban,"Designer, textile",3,74,43471.21,Separated,Female,Yes,13.65097,10,0,1,No,One year,No,No,DSL,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,19.49059,235.1555,2709.337012
Beaumont,MS,Perry,31.17101,-88.91489,2623,Urban,Equities trader,0,64,48188.1,Never Married,Male,No,10.77322,19,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,No,Credit Card (automatic),17.39814,159.965,1702.35927
Dayton,OH,Montgomery,39.74803,-84.15815,16079,Suburban,Fish farm manager,6,19,54411.48,Divorced,Male,Yes,9.078472,14,1,0,No,One year,No,No,DSL,Yes,No,No,No,Yes,Yes,No,Yes,No,Electronic Check,2.871903,152.4742,1262.175265
Bowerston,OH,Carroll,40.43674,-81.17831,1578,Urban,IT trainer,3,88,30261.27,Separated,Female,No,11.14141,15,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Mailed Check,3.443373,137.4392,441.303964
Haw River,NC,Alamance,36.03623,-79.32597,7011,Suburban,Haematologist,1,59,23804.97,Never Married,Female,Yes,10.1896,11,0,0,Yes,Month-to-month,Yes,No,None,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),1.110729,210.1518,724.2830732
Strykersville,NY,Wyoming,42.73004,-78.42813,1785,Suburban,Furniture designer,1,41,27953.84,Widowed,Male,Yes,9.577273,10,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Credit Card (automatic),3.613491,204.9797,755.3426141
Greenville,MI,Montcalm,43.18392,-85.25749,18301,Urban,Quality manager,4,66,42965.51,Married,Male,No,7.92766,8,3,0,No,Two Year,Yes,No,None,Yes,No,Yes,No,No,No,No,Yes,No,Credit Card (automatic),23.28091,117.4835,2291.020179
Woodworth,ND,Stutsman,47.14748,-99.32907,188,Suburban,Tax adviser,0,56,24008.52,Separated,Female,Yes,14.56157,15,2,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Electronic Check,5.799929,179.9794,702.2310933
Elwood,IN,Madison,40.29519,-85.83109,11850,Rural,Chief Strategy Officer,2,24,24799.72,Separated,Female,No,14.69987,11,1,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,No,No,No,Electronic Check,3.636783,137.4872,529.8555137
West Unity,OH,Williams,41.58705,-84.44006,3195,Urban,Editorial assistant,4,44,29696.18,Never Married,Male,No,15.15798,11,1,0,No,One year,Yes,No,None,Yes,No,Yes,No,Yes,No,Yes,No,No,Electronic Check,2.149118,120.0035,717.7031752
Lincoln,NE,Lancaster,40.80653,-96.63596,21765,Rural,Financial risk analyst,3,28,47854.43,Divorced,Male,Yes,11.04991,16,1,1,No,Month-to-month,No,No,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,No,Credit Card (automatic),11.6573,162.4713,1447.576599
Cedaredge,CO,Delta,38.9572,-107.9549,4988,Suburban,Oceanographer,0,52,22879.56,Married,Nonbinary,No,12.2544,7,0,0,No,One year,Yes,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,No,Bank Transfer(automatic),4.283128,149.9378,1003.311614
Velma,OK,Stephens,34.4765,-97.65173,733,Suburban,Customer service manager,4,19,12002.38,Married,Female,No,13.54895,10,0,1,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,Yes,No,Yes,Electronic Check,18.21715,117.4392,2322.340226
State College,PA,Centre,40.80167,-77.89961,25901,Rural,Video editor,3,37,17878.4,Never Married,Female,No,12.14678,11,0,0,No,Two Year,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,Yes,Mailed Check,7.571234,147.4738,930.0652299
Cameron,AZ,Coconino,35.99212,-111.5037,2216,Rural,Financial adviser,2,21,71254.24,Married,Male,Yes,11.303,11,1,1,No,Month-to-month,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,20.87125,177.6508,2441.911507
Arvada,WY,Sheridan,44.62376,-106.0692,266,Urban,"Engineer, maintenance",1,69,7401.68,Separated,Male,Yes,5.864437,14,0,0,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,Yes,No,Yes,No,No,Electronic Check,12.38916,152.4579,1814.711402
Alicia,AR,Lawrence,35.93353,-91.09786,360,Rural,Actuary,7,43,15012.17,Divorced,Female,Yes,9.70902,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No,No,Credit Card (automatic),7.934658,147.4783,1031.328337
Maynard,MN,Chippewa,44.96579,-95.48291,900,Suburban,Diplomatic Services operational officer,0,62,5875.82,Never Married,Male,No,7.912433,11,1,0,No,One year,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,No,Mailed Check,23.75492,157.4836,2142.048492
Kilgore,NE,Cherry,42.9872,-100.9873,141,Urban,Comptroller,0,72,29702.84,Separated,Male,No,7.204886,14,1,1,No,Two Year,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,No,No,No,Electronic Check,4.83659,120.0049,980.2047172
Palisades,NY,Rockland,41.01624,-73.91438,1283,Urban,Interpreter,0,36,39983.19,Never Married,Female,No,12.38875,13,4,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Credit Card (automatic),8.161101,140.0049,874.8586177
Orient,OH,Pickaway,39.77433,-83.14164,12275,Rural,Camera operator,0,71,12174.49,Married,Female,No,14.81462,11,2,0,No,Month-to-month,No,No,DSL,Yes,Yes,No,Yes,Yes,No,No,No,No,Bank Transfer(automatic),10.55165,159.9794,1455.89147
San Antonio,FL,Pasco,28.32589,-82.32911,4654,Suburban,Public relations account executive,1,63,17570.65,Widowed,Female,Yes,11.75305,10,0,0,Yes,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Mailed Check,2.353582,169.9928,338.0121063
Cottonwood,AL,Houston,31.05082,-85.31533,3708,Urban,"Social research officer, government",6,74,72862.83,Never Married,Female,No,13.29232,14,0,1,No,One year,Yes,No,None,Yes,No,No,No,Yes,Yes,Yes,No,No,Credit Card (automatic),5.317775,129.995,822.6124438
West Baldwin,ME,Cumberland,43.83211,-70.75141,907,Urban,Environmental consultant,7,63,23216.52,Married,Male,No,9.369939,8,1,0,No,Month-to-month,No,No,None,Yes,No,No,No,Yes,Yes,No,No,Yes,Electronic Check,1.295137,105.011,446.3286395
Tombstone,AZ,Cochise,31.71507,-110.0509,1871,Suburban,Secondary school teacher,0,36,50827.4,Never Married,Female,No,5.274854,16,2,1,No,Two Year,No,No,None,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Bank Transfer(automatic),7.863565,127.5112,837.2841389
Pittsville,VA,Pittsylvania,37.01141,-79.47875,423,Suburban,Human resources officer,1,84,30433.22,Married,Male,Yes,7.860547,13,3,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Electronic Check,9.321719,162.4833,1419.94259
Palco,KS,Rooks,39.21027,-99.61998,259,Rural,Petroleum engineer,3,88,55271.5,Divorced,Female,No,11.07053,18,1,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,No,Mailed Check,4.278123,147.4601,412.2016012
Seattle,WA,King,47.54126,-122.313,23980,Urban,Insurance account manager,0,39,18107.56,Divorced,Male,No,12.86633,14,0,1,No,Month-to-month,Yes,Yes,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),5.876252,114.9838,693.7341041
Senecaville,OH,Guernsey,39.91755,-81.43855,1697,Urban,Geographical information systems officer,3,27,60246.56,Married,Female,No,14.88587,18,0,1,No,Month-to-month,Yes,No,None,Yes,Yes,No,No,No,No,No,No,No,Electronic Check,4.674127,112.4844,618.2837675
Mohawk,MI,Keweenaw,47.38063,-88.11998,1238,Urban,"Engineer, drilling",2,23,31991.43,Separated,Female,No,10.94084,10,0,0,No,Month-to-month,Yes,No,Fiber Optic,No,No,Yes,Yes,No,No,No,No,Yes,Credit Card (automatic),2.912281,137.4686,553.494246
Sale City,GA,Mitchell,31.25813,-84.0423,764,Rural,Soil scientist,7,59,38154.75,Divorced,Male,No,10.34109,10,0,0,No,One year,No,No,None,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Electronic Check,5.115763,117.5152,937.3671919
Corsicana,TX,Navarro,32.04523,-96.35405,4555,Urban,Artist,4,35,29179.15,Separated,Male,No,7.449366,13,0,0,No,Two Year,Yes,No,None,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),3.911083,172.4848,971.4767445
Yulee,FL,Nassau,30.66379,-81.62966,18518,Urban,Merchant navy officer,1,28,18911.92,Married,Female,No,3.681734,14,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,No,Mailed Check,2.277916,149.9598,520.0280011
Cahone,CO,Dolores,37.72182,-108.7334,187,Suburban,"Engineer, drilling",2,72,52531.68,Widowed,Female,No,4.033514,13,1,1,No,Month-to-month,Yes,No,None,No,Yes,No,No,No,No,No,No,Yes,Bank Transfer(automatic),11.30129,112.4844,982.9761431
Oklahoma City,OK,Oklahoma,35.47757,-97.6539,25134,Urban,Make,0,78,18346.56,Widowed,Female,No,11.63789,9,1,0,No,Month-to-month,Yes,No,None,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Mailed Check,33.6803,129.9926,2902.678202
Ackerman,MS,Choctaw,33.34737,-89.18525,3498,Suburban,Lawyer,1,80,21741.59,Married,Female,No,10.03618,12,0,0,No,Two Year,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Credit Card (automatic),16.66607,117.4686,1876.277402
Boyne Falls,MI,Charlevoix,45.21438,-84.85253,2050,Urban,Armed forces logistics/support/administrative officer,3,44,35306.17,Widowed,Male,No,7.902938,11,3,0,Yes,Two Year,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Credit Card (automatic),16.15713,169.9378,1767.444722
Griffithville,AR,White,35.08408,-91.60119,597,Suburban,Mechanical engineer,5,45,30933.38,Never Married,Male,No,5.692916,8,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Bank Transfer(automatic),2.976407,204.9634,903.733212
Frederica,DE,Kent,39.03423,-75.45415,5438,Rural,Sales promotion account executive,3,75,22963.6,Widowed,Male,No,11.96522,5,1,0,No,One year,Yes,Yes,None,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Mailed Check,13.59261,210.1518,1803.186158
Elizabeth,IN,Harrison,38.10535,-85.97309,4363,Rural,"Psychologist, forensic",3,71,33377.2,Married,Female,Yes,6.789145,9,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Credit Card (automatic),8.808902,172.4441,1034.993917
Gardiner,MT,Park,45.08482,-110.5725,1273,Suburban,Industrial buyer,0,78,21918.44,Widowed,Male,No,8.818958,7,1,0,Yes,Two Year,No,No,None,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Bank Transfer(automatic),20.34377,120.0035,1973.92172
Norris,TN,Anderson,36.19797,-84.06905,1264,Urban,Quality manager,0,63,19384.87,Separated,Female,No,11.31459,11,1,0,Yes,Two Year,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Bank Transfer(automatic),20.86192,149.9621,1943.299733
Helix,OR,Umatilla,45.91001,-118.7866,276,Urban,Holiday representative,4,71,56728.64,Divorced,Female,No,10.36633,15,1,1,No,One year,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,No,Credit Card (automatic),20.5032,182.4608,2068.674053
Battletown,KY,Meade,38.09163,-86.34151,969,Suburban,IT trainer,5,30,30113.06,Divorced,Female,No,10.23011,10,0,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,No,No,Electronic Check,11.92723,169.9741,1433.513815
Three Forks,MT,Gallatin,45.9492,-111.5064,3378,Suburban,Further education lecturer,2,72,34620.48,Married,Female,Yes,7.164228,13,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,No,Mailed Check,8.116071,172.4624,993.0023112
Merchantville,NJ,Camden,39.95038,-75.05044,22385,Rural,Exhibition designer,3,77,17176.57,Widowed,Female,Yes,8.619073,8,2,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Electronic Check,7.490867,182.497,939.4887657
Allison,PA,Fayette,39.98532,-79.87133,593,Urban,"Programmer, multimedia",2,59,12498.28,Separated,Female,No,9.032718,15,0,0,No,Two Year,No,No,None,No,Yes,Yes,No,No,Yes,Yes,No,No,Credit Card (automatic),9.447103,152.4952,1149.009681
Annawan,IL,Henry,41.42078,-89.91831,1267,Suburban,Dancer,0,48,41250.17,Divorced,Male,No,10.2122,9,1,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),5.848803,182.447,821.6574124
Oklahoma City,OK,Oklahoma,35.52108,-97.4409,3558,Suburban,Actor,2,89,26175.98,Separated,Male,Yes,13.23246,12,1,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,Yes,No,Yes,No,Credit Card (automatic),7.283366,139.9512,1185.85182
Coulterville,IL,Randolph,38.18906,-89.5691,2435,Suburban,"Lighting technician, broadcasting/film/video",1,78,66253.35,Widowed,Male,Yes,7.499925,9,0,0,Yes,Month-to-month,Yes,Yes,None,Yes,No,No,Yes,No,Yes,No,Yes,No,Bank Transfer(automatic),1.866832,149.9707,427.8088852
New Milford,NJ,Bergen,40.93369,-74.01956,16578,Rural,Environmental consultant,2,61,78748.75,Never Married,Female,No,7.292793,15,1,0,No,One year,No,No,None,No,No,Yes,No,Yes,No,Yes,No,No,Electronic Check,1.671807,120.0035,514.2333467
Duck Hill,MS,Montgomery,33.62764,-89.63211,2616,Rural,Health and safety adviser,1,25,10124.99,Never Married,Male,Yes,5.058771,12,0,2,Yes,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,No,No,Yes,Yes,Credit Card (automatic),10.35779,127.4421,1612.488802
Courtland,AL,Lawrence,34.64788,-87.30612,1851,Suburban,Archaeologist,0,53,8058.36,Widowed,Female,No,13.70368,12,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Mailed Check,22.52336,174.9699,2587.895755
Levasy,MO,Jackson,39.1382,-94.12649,38,Rural,Risk manager,3,30,36755.73,Separated,Male,No,11.41099,10,1,0,No,One year,No,Yes,None,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Mailed Check,15.84313,172.4871,1945.615058
Wetumpka,AL,Elmore,32.61799,-86.19335,19843,Urban,"Scientist, research (medical)",4,69,31693.07,Never Married,Female,Yes,12.21299,13,0,0,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,Yes,No,Bank Transfer(automatic),16.64015,182.4433,2159.000591
Alexandria,MO,Clark,40.38959,-91.54038,680,Urban,"Administrator, sports",4,22,69455.07,Widowed,Nonbinary,No,10.38882,14,1,2,No,Two Year,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Yes,No,No,Credit Card (automatic),4.434036,162.4676,1301.182014
Lenexa,KS,Johnson,38.96109,-94.82148,7169,Suburban,Phytotherapist,1,40,42568.16,Married,Female,Yes,13.74841,11,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Credit Card (automatic),6.318781,195.0062,907.5139744
Bowman,ND,Bowman,46.18895,-103.4257,2275,Rural,English as a second language teacher,1,37,25009.73,Married,Female,Yes,12.10369,13,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Mailed Check,5.88788,162.4827,871.4588583
Solon,ME,Somerset,44.943,-69.79266,884,Suburban,Holiday representative,4,42,41831.89,Divorced,Male,Yes,13.45145,12,2,1,No,Month-to-month,No,No,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Mailed Check,11.21368,242.6573,1819.192603
Birch Tree,MO,Shannon,36.92524,-91.50254,2455,Rural,Tourism officer,3,64,61022.41,Never Married,Female,No,10.38191,13,1,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,Yes,Mailed Check,5.213752,147.4601,567.5523212
Mocksville,NC,Davie,35.92348,-80.57515,26044,Rural,Leisure centre manager,0,58,17116.5,Divorced,Female,No,15.09047,14,0,0,Yes,Two Year,No,No,DSL,Yes,No,No,Yes,No,Yes,Yes,No,No,Credit Card (automatic),1.215614,152.4441,776.5788688
Roxobel,NC,Bertie,36.19493,-77.2603,480,Rural,Retail manager,0,75,8164.76,Divorced,Female,No,9.300768,11,1,1,No,Month-to-month,Yes,No,None,Yes,No,No,Yes,Yes,No,No,No,No,Bank Transfer(automatic),4.226363,114.9976,439.0514662
Notasulga,AL,Macon,32.55437,-85.71545,3758,Urban,Licensed conveyancer,0,38,45150.63,Divorced,Male,No,14.61731,9,0,0,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Electronic Check,11.70321,119.9568,1725.42639
Chino,CA,San Bernardino,33.95398,-117.6405,3892,Urban,Training and development officer,0,30,7141.05,Separated,Male,Yes,15.96237,15,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Bank Transfer(automatic),7.2247,164.9889,1060.670899
Black River,MI,Alcona,44.80513,-83.34554,463,Urban,Mechanical engineer,4,52,36983.01,Never Married,Female,Yes,7.872305,16,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Electronic Check,4.548296,162.4833,1143.803066
Lyons Falls,NY,Lewis,43.63877,-75.27511,1063,Suburban,Therapeutic radiographer,1,47,84067.95,Separated,Male,Yes,7.742301,8,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,19.2087,192.4567,1928.36236
Laura,IL,Peoria,40.94578,-89.93875,331,Suburban,"Journalist, magazine",0,33,25338.56,Separated,Male,No,11.62413,15,1,2,No,One year,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,No,Electronic Check,4.087832,149.9447,1114.579555
Hennepin,IL,Putnam,41.22683,-89.30943,1326,Urban,Market researcher,2,47,42848.92,Never Married,Male,No,10.08263,13,1,0,No,Month-to-month,No,Yes,None,Yes,No,Yes,No,No,No,No,No,Yes,Electronic Check,1.177776,82.49655,320.9812888
Schlater,MS,Leflore,33.62118,-90.34601,432,Suburban,Automotive engineer,4,74,1987.78,Separated,Male,No,4.234589,9,1,0,Yes,Two Year,No,No,DSL,Yes,No,No,No,Yes,No,No,Yes,Yes,Credit Card (automatic),12.75835,139.965,1826.031678
Sherwood,TN,Franklin,35.04786,-85.95589,351,Urban,Equities trader,0,62,12050.23,Married,Female,No,9.250838,8,2,0,Yes,Two Year,Yes,No,DSL,Yes,No,No,No,Yes,No,No,No,No,Electronic Check,3.079288,104.9781,707.1891381
Primrose,NE,Boone,41.65525,-98.25059,203,Rural,"Secretary, company",1,35,20318.27,Married,Female,No,4.533903,10,1,1,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Credit Card (automatic),7.116216,112.4551,658.6339621
Glenford,NY,Ulster,42.00337,-74.15849,549,Suburban,Microbiologist,1,49,99120.55,Separated,Female,Yes,9.959672,13,1,0,No,Month-to-month,Yes,No,None,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Bank Transfer(automatic),5.315954,232.652,1163.644754
Farmland,IN,Randolph,40.18107,-85.1323,2848,Urban,"Physicist, medical",0,19,62575.22,Never Married,Female,Yes,4.259613,11,3,0,Yes,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,Yes,No,Bank Transfer(automatic),4.473582,142.4689,1116.476714
Burbank,CA,Los Angeles,34.20052,-118.2958,20300,Suburban,Bookseller,0,37,19168.31,Never Married,Female,Yes,9.946962,11,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),4.926111,227.4754,856.9298283
Englewood,CO,Arapahoe,39.64216,-104.9625,23117,Suburban,Economist,2,27,17038.61,Widowed,Male,Yes,12.52276,14,0,0,No,One year,Yes,No,None,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Bank Transfer(automatic),16.22394,197.6288,2060.236225
Temple,NH,Hillsborough,42.82853,-71.85495,1307,Suburban,"Research officer, government",1,57,55120.82,Married,Female,No,13.50565,14,1,1,Yes,Two Year,No,No,DSL,No,Yes,No,No,Yes,No,No,Yes,Yes,Credit Card (automatic),13.05964,172.4705,1803.766672
West Forks,ME,Somerset,45.37082,-69.94296,52,Suburban,"Designer, textile",4,71,94629.64,Never Married,Male,No,10.30866,14,1,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,20.87922,127.4738,2435.584022
Camano Island,WA,Island,48.18657,-122.4707,16427,Rural,Clinical embryologist,0,87,40870.51,Divorced,Female,No,11.86638,13,0,0,No,Two Year,No,No,DSL,Yes,No,No,Yes,No,No,No,Yes,No,Bank Transfer(automatic),13.07421,149.9378,1612.709993
Montchanin,DE,New Castle,39.79503,-75.58815,0,Urban,"Sales professional, IT",1,55,21549.44,Divorced,Male,No,13.51296,11,2,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Credit Card (automatic),4.078283,112.4551,426.4255699
Grand Forks,ND,Grand Forks,47.97219,-97.15495,17094,Suburban,Sport and exercise psychologist,3,50,33565.09,Divorced,Male,Yes,12.43999,16,2,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,No,Credit Card (automatic),3.284958,182.4608,778.200989
Lookout,CA,Modoc,41.26649,-121.1004,339,Suburban,Publishing rights manager,0,24,13813.36,Widowed,Female,Yes,11.5956,14,1,0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Mailed Check,5.645298,174.9744,1268.042248
Bidwell,OH,Gallia,38.92975,-82.27709,4825,Suburban,"Pilot, airline",5,84,59919.2,Separated,Female,No,2.30196,9,1,0,No,Two Year,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Bank Transfer(automatic),24.94738,159.983,2265.62602
Mc Neil,AR,Columbia,33.40087,-93.19549,845,Rural,Event organiser,5,65,55714.69,Never Married,Female,No,14.17798,9,2,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Electronic Check,7.488398,207.4811,1236.012715
Bunker Hill,IN,Miami,40.63118,-86.09558,1484,Urban,Mudlogger,1,33,59346.15,Widowed,Male,No,8.316636,13,0,1,No,Two Year,Yes,No,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Mailed Check,10.07156,204.9634,1401.299612
Fort Myers,FL,Lee,26.63434,-81.83912,23438,Rural,"Social research officer, government",3,72,22780.89,Divorced,Male,No,8.278435,15,0,1,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Credit Card (automatic),22.7117,182.4762,2288.984083
Falcon,NC,Cumberland,35.19194,-78.64973,233,Suburban,Statistician,4,18,20592.92,Widowed,Female,Yes,9.591346,10,1,0,No,Month-to-month,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No,Yes,Mailed Check,14.7094,182.4538,1700.981258
Syracuse,OH,Meigs,38.99819,-81.97175,753,Urban,Materials engineer,3,21,8528.16,Widowed,Female,No,9.760727,9,1,2,Yes,Two Year,No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,No,Electronic Check,18.81173,160.0013,1956.709597
Rio Vista,TX,Johnson,32.21723,-97.3949,1753,Suburban,Physiotherapist,1,36,36616.04,Divorced,Female,Yes,8.281005,12,1,0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),1.481306,207.6094,650.9200141
Emerson,IA,Mills,41.03613,-95.38042,838,Suburban,"Designer, graphic",2,81,68426.04,Never Married,Female,Yes,9.128286,12,2,0,No,One year,No,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,16.55879,257.6513,2509.367174
Bent Mountain,VA,Roanoke,37.15457,-80.13587,872,Rural,Research scientist (physical sciences),4,28,77751.56,Separated,Female,Yes,9.30537,13,1,0,Yes,One year,Yes,No,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Electronic Check,2.657783,252.624,942.1751694
Eads,TN,Fayette,35.1831,-89.63486,6965,Rural,Senior tax professional/tax inspector,4,26,74229.42,Separated,Male,Yes,3.936842,6,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Bank Transfer(automatic),12.29093,204.961,1687.611214
Carver,MN,Carver,44.71842,-93.68698,5651,Suburban,"Solicitor, Scotland",4,64,32902.71,Never Married,Female,No,11.81917,16,0,0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),13.02429,147.4601,1238.315929
